Entity,Year,Life expectancy,process_date
Switzerland,1909,51.610001000000004,2025-07-24
Switzerland,1910,52.91,2025-07-24
Switzerland,1911,51.720001,2025-07-24
Switzerland,1912,54.419998,2025-07-24
Switzerland,1913,54.209998999999996,2025-07-24
Switzerland,1914,55.130001,2025-07-24
Switzerland,1915,55.950001,2025-07-24
Switzerland,1916,56.59,2025-07-24
Switzerland,1917,55.810001,2025-07-24
Switzerland,1918,46.299999,2025-07-24
Switzerland,1919,54.970001,2025-07-24
Switzerland,1920,54.380001,2025-07-24
Switzerland,1921,57.869999,2025-07-24
Switzerland,1922,58.5,2025-07-24
Switzerland,1923,60.040001000000004,2025-07-24
Switzerland,1924,59.490002000000004,2025-07-24
Switzerland,1925,59.950001,2025-07-24
Switzerland,1926,60.639998999999996,2025-07-24
Switzerland,1927,60.099998,2025-07-24
Switzerland,1928,60.470001,2025-07-24
Switzerland,1929,60.169998,2025-07-24
Switzerland,1930,61.43,2025-07-24
Switzerland,1931,61.240002000000004,2025-07-24
Switzerland,1932,61.23,2025-07-24
Switzerland,1933,62.41,2025-07-24
Switzerland,1934,62.889998999999996,2025-07-24
Switzerland,1935,62.130001,2025-07-24
Switzerland,1936,63.18,2025-07-24
Switzerland,1937,63.509997999999996,2025-07-24
Switzerland,1938,63.849998,2025-07-24
Switzerland,1939,64.010002,2025-07-24
Switzerland,1940,63.580002,2025-07-24
Switzerland,1941,64.980003,2025-07-24
Switzerland,1942,65.650002,2025-07-24
Switzerland,1943,65.839996,2025-07-24
Switzerland,1944,64.879997,2025-07-24
Switzerland,1945,65.41999799999999,2025-07-24
Switzerland,1946,66.07,2025-07-24
Switzerland,1947,66.260002,2025-07-24
Switzerland,1948,67.339996,2025-07-24
Switzerland,1949,67.970001,2025-07-24
Switzerland,1950,68.940002,2025-07-24
Switzerland,1951,68.709999,2025-07-24
Switzerland,1952,69.620003,2025-07-24
Switzerland,1953,69.529999,2025-07-24
Switzerland,1954,70.0,2025-07-24
Switzerland,1955,70.08000200000001,2025-07-24
Switzerland,1956,70.209999,2025-07-24
Switzerland,1957,70.559998,2025-07-24
Switzerland,1958,71.300003,2025-07-24
Switzerland,1959,71.459999,2025-07-24
Switzerland,1960,71.440002,2025-07-24
Switzerland,1961,71.760002,2025-07-24
Switzerland,1962,71.32,2025-07-24
Switzerland,1963,71.309998,2025-07-24
Switzerland,1964,72.199997,2025-07-24
Switzerland,1965,72.33000200000001,2025-07-24
Switzerland,1966,72.470001,2025-07-24
Switzerland,1967,72.769997,2025-07-24
Switzerland,1968,72.720001,2025-07-24
Switzerland,1969,72.730003,2025-07-24
Switzerland,1970,73.139999,2025-07-24
Switzerland,1971,73.260002,2025-07-24
Switzerland,1972,73.779999,2025-07-24
Switzerland,1973,74.08000200000001,2025-07-24
Switzerland,1974,74.43,2025-07-24
Switzerland,1975,74.82,2025-07-24
Switzerland,1976,74.940002,2025-07-24
Switzerland,1977,75.389999,2025-07-24
Switzerland,1978,75.339996,2025-07-24
Switzerland,1979,75.639999,2025-07-24
Switzerland,1980,75.639999,2025-07-24
Switzerland,1981,75.870003,2025-07-24
Switzerland,1982,76.209999,2025-07-24
Switzerland,1983,76.220001,2025-07-24
Switzerland,1984,76.82,2025-07-24
Switzerland,1985,76.940002,2025-07-24
Switzerland,1986,77.110001,2025-07-24
Switzerland,1987,77.410004,2025-07-24
Switzerland,1988,77.43,2025-07-24
Switzerland,1989,77.620003,2025-07-24
Switzerland,1990,77.489998,2025-07-24
Switzerland,1991,77.639999,2025-07-24
Switzerland,1992,77.93,2025-07-24
Switzerland,1993,78.220001,2025-07-24
Switzerland,1994,78.449997,2025-07-24
Switzerland,1995,78.529999,2025-07-24
Switzerland,1996,78.980003,2025-07-24
Switzerland,1997,79.25,2025-07-24
Switzerland,1998,79.510002,2025-07-24
Switzerland,1999,79.779999,2025-07-24
Switzerland,2000,79.970001,2025-07-24
Switzerland,2001,80.209999,2025-07-24
Switzerland,2002,80.400002,2025-07-24
Switzerland,2003,80.620003,2025-07-24
Switzerland,2004,81.029999,2025-07-24
Switzerland,2005,81.279999,2025-07-24
Switzerland,2006,81.480003,2025-07-24
Switzerland,2007,81.690002,2025-07-24
Switzerland,2008,81.91999799999999,2025-07-24
Switzerland,2009,82.059998,2025-07-24
Switzerland,2010,82.300003,2025-07-24
Switzerland,2011,82.540001,2025-07-24
Switzerland,2012,82.660004,2025-07-24
Switzerland,2013,82.800003,2025-07-24
Switzerland,2014,83.089996,2025-07-24
Switzerland,2015,83.160004,2025-07-24
Switzerland,2016,83.18,2025-07-24
United Kingdom,1800,38.649761,2025-07-24
United Kingdom,1801,37.350821999999994,2025-07-24
United Kingdom,1802,38.615601,2025-07-24
United Kingdom,1803,37.316845,2025-07-24
United Kingdom,1804,41.436916,2025-07-24
United Kingdom,1805,42.317261,2025-07-24
United Kingdom,1806,43.216114000000005,2025-07-24
